Time;Acceleration x-axis;Acceleration y-axis;Acceleration z-axis;Gravitation x-axis;Gravitation y-axis;Gravitation z-axis;Linear acceleration x-axis;Linear acceleration y-axis;Linear acceleration z-axis;Gyroscope x-axis;Gyroscope y-axis;Gyroscope z-axis;Orientation x-axis (in degrees);Orientation y-axis (in degrees);Orientation z-axis (in degrees)
19550;0.1341;0.0551;9.8716;0.1392;0.0555;9.8055;0.0188;0.0163;0.0757;-0.0006;0.0007;-0.0002;188.6;-0.32;-0.81
20050;0.1197;0.0359;9.8836;0.1407;0.0569;9.8055;0.0126;0.0029;0.0518;0;0.0007;0.0005;188.65;-0.33;-0.82
20551;0.1389;0.0599;9.874;0.1402;0.0537;9.8055;0.0178;0.0037;0.0613;-0.0012;0.0001;-0.0002;188.72;-0.31;-0.82
21050;0.1389;0.0479;9.8812;0.1398;0.0567;9.8055;-0.0009;0.0103;0.0661;-0.0012;-0.0005;0.0005;186.31;-0.33;-0.82
21550;0.1317;0.0479;9.8716;0.1414;0.0565;9.8055;-0.0025;-0.0015;0.0781;0.0006;-0.0017;-0.0002;188.7;-0.33;-0.83
22050;0.1197;0.0551;9.8764;0.1391;0.0552;9.8055;-0.017;-0.0049;0.0852;-0.0007;0.0003;0.0005;188.68;-0.33;-0.81
22550;0.1437;0.0623;9.8812;0.1379;0.0526;9.8055;0.0106;-0.0166;0.0804;-0.0013;0.0009;-0.0001;190.95;-0.32;-0.8
23050;0.1365;0.0551;9.8692;0.1387;0.0533;9.8055;-0.0022;0.0018;0.0637;-0.0001;-0.001;0.0005;191.01;-0.31;-0.81
23551;0.1484;0.0623;9.8812;0.1379;0.0547;9.8055;0.001;0.0028;0.0804;0.0005;-0.001;-0.0008;188.66;-0.31;-0.8
24050;0.1461;0.0527;9.886;0.1359;0.0551;9.8056;0.0102;0;0.0852;-0.0007;0.0009;-0.0014;189.06;-0.32;-0.8
24550;0.1532;0.0527;9.8668;0.1379;0.0553;9.8055;0.0033;-0.0026;0.078;-0.0007;0.0003;0.0005;188.66;-0.32;-0.81
25050;0.1197;0.0623;9.874;0.1383;0.054;9.8055;-0.0018;-0.0205;0.0685;-0.0007;-0.001;-0.0001;191.44;-0.31;-0.81
25550;0.1508;0.0575;9.8884;0.1374;0.0547;9.8055;-0.0106;0.0027;0.0589;0.0005;0.0003;-0.0008;190.98;-0.32;-0.79
26050;0.1365;0.0479;9.8357;0.1409;0.0591;9.8055;0.0051;-0.0136;0.0518;0.0005;-0.0004;0.0005;188.67;-0.32;-0.81
26551;0.1461;0.0479;9.8668;0.1392;0.0586;9.8055;0.014;-0.0059;0.0613;0.0006;-0.001;0.0004;189.02;-0.33;-0.82
27050;0.1317;0.0479;9.8524;0.14;0.0576;9.8055;-0.0107;-0.0002;0.0541;0;-0.0003;0.0004;188.69;-0.34;-0.82
27550;0.1508;0.0599;9.8812;0.1403;0.0552;9.8055;0.0057;-0.005;0.0685;0.0012;0.0003;0.0004;188.69;-0.32;-0.82
28050;0.1461;0.0527;9.874;0.1391;0.056;9.8055;-0.0027;0.0014;0.0589;0;-0.001;0.0004;191.49;-0.32;-0.81
28552;0.1365;0.0431;9.8836;0.1398;0.054;9.8055;0.0062;-0.0133;0.0709;0;0.0009;-0.0002;188.71;-0.33;-0.83
29051;0.1413;0.0431;9.85;0.1403;0.0548;9.8055;-0.0134;0.0098;0.0469;0;-0.001;0.0004;188.69;-0.32;-0.82
29551;0.1484;0.0287;9.8596;0.1412;0.0455;9.8055;0.0144;0;0.0541;0;-0.0016;0.0004;191.02;-0.27;-0.82
30050;0.1484;0.0527;9.85;0.1421;0.0452;9.8055;0.0039;0.0146;0.0613;-0.0006;-0.001;-0.0002;188.69;-0.26;-0.83
