ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);;Time since start in ms ;;;;;;;;;;;;;;;;;;Verschil tussen twee meetpunten;;;;;;;;;;;;;;;;;;;
0,1101;0,0383;9,862;0,1225;0,0406;9,8058;-0,0047;-0,0068;0,0562;2,00E-04;5,00E-04;-1,00E-04;191,23;-0,24;-0,71;;54551;;;;;;;;;;;;;;;;;;-0,0096;-0,0192;0;0,0002;-0,0007;0;-0,0163;0,0017;-0,012;0;0,0006;0;2,77;0,01;0,01;;;;;
0,1341;0,0455;9,862;0,1232;0,0399;9,8058;-0,0012;-0,004;0,0586;-6,00E-04;0,0013;-1,00E-04;188,48;-0,23;-0,72;;55050;;;;;;;;;;;;;;;;;;0,024;0,0072;0;0,0007;-0,0007;0;0,0035;0,0028;0,0024;-0,0008;0,0008;0;-2,75;0,01;-0,01;;;;;
0,1245;0,0239;9,8764;0,1233;0,0384;9,8058;-0,0223;0,0038;0,0778;0,0013;-0,0011;5,00E-04;190,79;-0,22;-0,72;;55550;;;;;;;;;;;;;;;;;;-0,0096;-0,0216;0,0144;0,0001;-0,0015;0;-0,0211;0,0078;0,0192;0,0019;-0,0024;0,0006;2,31;0,01;0;;;;;
0,1269;0,0599;9,8668;0,1212;0,0396;9,8058;0,0064;0,0194;0,061;-0,0012;-0,0011;0,0017;191,26;-0,23;-0,71;;56050;;;;;;;;;;;;;;;;;;0,0024;0,036;-0,0096;-0,0021;0,0012;0;0,0287;0,0156;-0,0168;-0,0025;0;0,0012;0,47;-0,01;0,01;;;;;
0,1245;0,0407;9,874;0,1181;0,039;9,8059;-0,0047;-0,0095;0,0681;1,00E-04;-5,00E-04;5,00E-04;190,76;-0,23;-0,69;;56551;;;;;;;;;;;;;;;;;;-0,0024;-0,0192;0,0072;-0,0031;-0,0006;1,00E-04;-0,0111;-0,0289;0,0071;0,0013;0,0006;-0,0012;-0,5;0;0,02;;;;;
0,1365;0,0479;9,8644;0,1194;0,0375;9,8059;0,0042;-0,004;0,0466;-6,00E-04;-5,00E-04;-7,00E-04;190,77;-0,22;-0,7;;57050;;;;;;;;;;;;;;;;;;0,012;0,0072;-0,0096;0,0013;-0,0015;0;0,0089;0,0055;-0,0215;-0,0007;0;-0,0012;0,01;0,01;-0,01;;;;;
0,1077;0,0407;9,85;0,1218;0,0403;9,8058;-0,0121;0,0032;0,0634;-6,00E-04;1,00E-04;5,00E-04;190,81;-0,24;-0,71;;57550;;;;;;;;;;;;;;;;;;-0,0288;-0,0072;-0,0144;0,0024;0,0028;-1,00E-04;-0,0163;0,0072;0,0168;0;0,0006;0,0012;0,04;-0,02;-0,01;;;;;
0,1101;0,0407;9,862;0,1223;0,0417;9,8058;-0,0047;-0,0084;0,0466;1,00E-04;7,00E-04;5,00E-04;190,81;-0,24;-0,71;;58050;;;;;;;;;;;;;;;;;;0,0024;0;0,012;0,0005;0,0014;0;0,0074;-0,0116;-0,0168;0,0007;0,0006;0;0;0;0;;;;;
0,1101;0,0359;9,8477;0,1211;0,0404;9,8058;-0,0076;0,0143;0,073;-6,00E-04;0,0013;0,0011;191,27;-0,24;-0,71;;58550;;;;;;;;;;;;;;;;;;0;-0,0048;-0,0143;-0,0012;-0,0013;0;-0,0029;0,0227;0,0264;-0,0007;0,0006;0,0006;0,46;0;0;;;;;
0,1125;0,0503;9,8716;0,1171;0,038;9,8059;0,0067;0,0024;0,0705;-0,0018;1,00E-04;-1,00E-04;191,26;-0,24;-0,71;;59051;;;;;;;;;;;;;;;;;;0,0024;0,0144;0,0239;-0,004;-0,0024;1,00E-04;0,0143;-0,0119;-0,0025;-0,0012;-0,0012;-0,0012;-0,01;0;0;;;;;
0,1269;0,0407;9,862;0,1214;0,0404;9,8058;-0,0038;-0,0019;0,0682;0,0013;1,00E-04;5,00E-04;191,26;-0,24;-0,71;;59550;;;;;;;;;;;;;;;;;;0,0144;-0,0096;-0,0096;0,0043;0,0024;-1,00E-04;-0,0105;-0,0043;-0,0023;0,0031;0;0,0006;0;0;0;;;;;
0,1077;0,0431;9,8644;0,1194;0,0396;9,8058;0,004;0,0036;0,0586;0;7,00E-04;-1,00E-04;190,78;-0,23;-0,7;;60050;;;;;;;;;;;;;;;;;;-0,0192;0,0024;0,0024;-0,002;-0,0008;0;0,0078;0,0055;-0,0096;-0,0013;0,0006;-0,0006;-0,48;0,01;0,01;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);;;;SNELHEID X;SNELHEID Y;SNELHEID Z;;AFSTAND X;AFSTAND Y;AFSTAND Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0098;-0,0225;0,0589;;;;-0,00049;-0,001125;0,002945;;-0,00001225;-0,000028125;0,000073625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0014;0,009;0,0684;;;;0,00021;0,003375;0,037145;;-7,00E-05;5,63E-04;1,00E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0116;-0,0023;0,0661;;;;-0,0056016;0,0022227;0,0702611;;-1,35E-03;1,40E-03;2,69E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0011;-0,0157;0,0661;;;;-0,0050527;-0,0056116;0,103245;;-2,66E-03;-8,46E-04;4,33E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,00E-04;0,0088;0,0709;;;;-0,0049024;-0,0012028;0,1387659;;-2,49E-03;-1,71E-03;6,06E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0104;1,00E-04;0,0708;;;;0,0002872;-0,0011529;0,1740951;;-1,15E-03;-5,88E-04;7,81E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0035;0,0094;0,0421;;;;-0,0014628;0,0035471;0,1951451;;-2,94E-04;5,99E-04;9,23E-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0069;-0,0094;0,0756;;;;0,0019872;-0,0011529;0,2329451;;1,31E-04;5,99E-04;1,07E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,001;0,0015;0,0469;;;;0,0014872;-0,0004029;0,2563951;;8,69E-04;-3,89E-04;1,22E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0128;0,0162;0,0493;;;;0,0079;0,0077133;0,2810944;;2,35E-03;1,83E-03;1,35E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0089;-4,00E-04;0,0541;;;;0,0123411;0,0075137;0,3080903;;5,05E-03;3,80E-03;1,47E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-6,00E-04;2,00E-04;0,0541;;;;0,0120405;0,0076139;0,3351944;;6,11E-03;3,79E-03;1,61E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0164;0,0024;0,0661;;;;0,0202241;0,0088115;0,3681783;;8,05E-03;4,10E-03;1,75E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0032;-4,00E-04;0,0469;;;;0,0218241;0,0086115;0,3916283;;1,05E-02;4,36E-03;1,90E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0095;0,0035;0,0613;;;;0,0265836;0,010365;0,4223396;;1,21E-02;4,75E-03;2,04E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0012;0,0032;0,0613;;;;0,0271824;0,0119618;0,4529283;;1,34E-02;5,57E-03;2,18E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,009;-0,0084;0,0685;;;;0,0316824;0,0077618;0,4871783;;1,47E-02;4,93E-03;2,35E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0053;-0,0067;0,0757;;;;0,0343324;0,0044118;0,5250283;;1,65E-02;3,04E-03;2,53E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0106;0,0029;0,0637;;;;0,0396324;0,0058618;0,5568783;;1,85E-02;2,57E-03;2,70E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2,00E-04;0,0029;0,0781;;;;0,0395324;0,0073118;0,5959283;;1,98E-02;3,29E-03;2,88E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0123;0,0025;0,0709;;;;0,0456824;0,0085618;0,6313783;;2,13E-02;3,97E-03;3,07E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0106;0,0043;0,0589;;;;0,0403824;0,0107118;0,6608283;;2,15E-02;4,82E-03;3,23E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1,00E-04;0,0024;0,0661;;;;0,0403324;0,0119118;0,6938783;;2,02E-02;5,66E-03;3,39E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,006;0,0018;0,0613;;;;0,0433384;0,0128136;0,7245896;;2,10E-02;6,19E-03;3,55E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0038;6,00E-04;0,0565;;;;0,0452384;0,0131136;0,7528396;;2,21E-02;6,48E-03;3,69E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0022;0,0048;0,0589;;;;0,0441406;0,0155088;0,7822307;;2,23E-02;7,14E-03;3,83E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0058;0,0069;0,0589;;;;0,0470464;0,0189657;0,8117396;;2,28E-02;8,64E-03;3,99E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0212;0,002;0,0589;;;;0,0364676;0,0199637;0,8411307;;2,08E-02;9,71E-03;4,12E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0107;-0,0075;0,0565;;;;0,0311176;0,0162137;0,8693807;;1,69E-02;9,04E-03;4,28E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0011;-0,0135;0,0493;;;;0,0305676;0,0094637;0,8940307;;1,54E-02;6,42E-03;4,41E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,007;0,0057;0,0589;;;;0,0340676;0,0123137;0,9234807;;1,62E-02;5,44E-03;4,54E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0041;-0,0127;0,0589;;;;0,0320135;0,005951;0,9529896;;1,66E-02;4,58E-03;4,70E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0092;0,0049;0,0685;;;;0,0366043;0,0083961;0,9871711;;1,71E-02;3,58E-03;4,84E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0145;0,0106;0,0613;;;;0,0293543;0,0136961;1,0178211;;1,65E-02;5,52E-03;5,01E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0041;-0,0163;0,0733;;;;0,0314084;0,0055298;1,0545444;;1,52E-02;4,82E-03;5,19E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0132;0,0067;0,0445;;;;0,0248216;0,0088731;1,0767499;;1,40E-02;3,59E-03;5,32E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0044;0,0086;0,0733;;;;0,0270216;0,0131731;1,1133999;;1,30E-02;5,51E-03;5,48E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0029;-0,0053;0,0517;;;;0,0284716;0,0105231;1,1392499;;1,39E-02;5,92E-03;5,63E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1,00E-04;6,00E-04;0,0709;;;;0,0284216;0,0108231;1,1746999;;1,42E-02;5,34E-03;5,78E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0188;0,0163;0,0757;;;;0,0378216;0,0189731;1,2125499;;1,66E-02;7,45E-03;5,97E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0126;0,0029;0,0518;;;;0,0441216;0,0204231;1,2384499;;2,05E-02;9,85E-03;6,13E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0178;0,0037;0,0613;;;;0,0530394;0,0222768;1,2691612;;2,43E-02;1,07E-02;6,28E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-9,00E-04;0,0103;0,0661;;;;0,0525903;0,0274165;1,3021451;;2,64E-02;1,24E-02;6,42E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0025;-0,0015;0,0781;;;;0,0513403;0,0266665;1,3411951;;2,60E-02;1,35E-02;6,61E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,017;-0,0049;0,0852;;;;0,0428403;0,0242165;1,3837951;;2,35E-02;1,27E-02;6,81E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0106;-0,0166;0,0804;;;;0,0481403;0,0159165;1,4239951;;2,27E-02;1,00E-02;7,02E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0022;0,0018;0,0637;;;;0,0470403;0,0168165;1,4558451;;2,38E-02;8,18E-03;7,20E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001;0,0028;0,0804;;;;0,0475413;0,0182193;1,4961255;;2,37E-02;8,78E-03;7,39E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0102;0;0,0852;;;;0,0526311;0,0182193;1,5386403;;2,50E-02;9,09E-03;7,57E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0033;-0,0026;0,078;;;;0,0542811;0,0169193;1,5776403;;2,67E-02;8,78E-03;7,79E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0018;-0,0205;0,0685;;;;0,0533811;0,0066693;1,6118903;;2,69E-02;5,90E-03;7,97E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0106;0,0027;0,0589;;;;0,0480811;0,0080193;1,6413403;;2,54E-02;3,67E-03;8,13E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0051;-0,0136;0,0518;;;;0,0506311;0,0012193;1,6672403;;2,47E-02;2,31E-03;8,27E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,014;-0,0059;0,0613;;;;0,0576451;-0,0017366;1,6979516;;2,71E-02;-1,30E-04;8,43E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0107;-2,00E-04;0,0541;;;;0,0523058;-0,0018364;1,7249475;;2,74E-02;-8,91E-04;8,54E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0057;-0,005;0,0685;;;;0,0551558;-0,0043364;1,7591975;;2,69E-02;-1,54E-03;8,71E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0027;0,0014;0,0589;;;;0,0538058;-0,0036364;1,7886475;;2,72E-02;-1,99E-03;8,87E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0062;-0,0133;0,0709;;;;0,0569182;-0,010313;1,8242393;;2,78E-02;-3,50E-03;9,07E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0134;0,0098;0,0469;;;;0,0502316;-0,0054228;1,8476424;;2,67E-02;-3,93E-03;9,16E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0144;0;0,0541;;;;0,0574316;-0,0054228;1,8746924;;2,69E-02;-2,71E-03;9,31E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0039;0,0146;0,0613;;;;0,0593777;0,0018626;1,9052811;;2,91E-02;-8,88E-04;9,43E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0049;-0,005;0,0517;;;;0,0569277;-0,0006374;1,9311311;;2,91E-02;3,06E-04;9,59E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0023;-0,0057;0,0325;;;;0,0557754;-0,0034931;1,9474136;;2,82E-02;-1,03E-03;9,72E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,00E-04;0,0013;0,0323;;;;0,0559754;-0,0028431;1,9635636;;2,79E-02;-1,58E-03;9,78E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0082;0,0022;0,0323;;;;0,0518836;-0,0017453;1,9796813;;2,69E-02;-1,14E-03;9,84E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0103;-0,0054;0,0564;;;;0,0467336;-0,0044453;2,0078813;;2,47E-02;-1,55E-03;9,97E-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0019;-0,0018;0,0395;;;;0,0457836;-0,0053453;2,0276313;;2,31E-02;-2,45E-03;1,01E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0169;-0,0157;0,0658;;;;0,0373167;-0,013211;2,0605971;;2,08E-02;-4,65E-03;1,02E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0058;0,0022;0,0466;;;;0,0344225;-0,0121132;2,0838505;;1,79E-02;-6,32E-03;1,03E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0031;-0,0033;0,0634;;;;0,0359725;-0,0137632;2,1155505;;1,76E-02;-6,47E-03;1,05E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-6,00E-04;0,0022;0,0394;;;;0,0356725;-0,0126632;2,1352505;;1,79E-02;-6,61E-03;1,06E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0198;-0,0027;0,049;;;;0,0455725;-0,0140132;2,1597505;;2,03E-02;-6,67E-03;1,07E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,00E-04;0,0018;0,037;;;;0,0457228;-0,0131114;2,1782875;;2,29E-02;-6,79E-03;1,09E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,003;0,0065;0,0538;;;;0,0472228;-0,0098614;2,2051875;;2,32E-02;-5,74E-03;1,10E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0045;0,0168;0,0275;;;;0,0494683;-0,0014782;2,21891;;2,41E-02;-2,83E-03;1,10E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0013;-0,0056;0,0586;;;;0,048817;-0,0042838;2,2482686;;2,46E-02;-1,44E-03;1,12E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0078;0,0143;0,0466;;;;0,044917;0,0028662;2,2715686;;2,34E-02;-3,54E-04;1,13E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0029;0,0054;0,0562;;;;0,0463641;0,0055608;2,2996124;;2,28E-02;2,10E-03;1,14E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0098;-0,0112;0,0394;;;;0,0512641;-3,92E-05;2,3193124;;2,44E-02;1,38E-03;1,15E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0013;0,0017;0,061;;;;0,0519154;0,0008125;2,3498734;;2,58E-02;1,94E-04;1,17E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0023;0,0019;0,049;;;;0,0530631;0,0017606;2,3743244;;2,62E-02;6,42E-04;1,18E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0112;0,0063;0,061;;;;0,0586743;0,0049169;2,4048854;;2,80E-02;1,67E-03;1,20E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0048;0,0057;0,0394;;;;0,0562743;0,0077669;2,4245854;;2,87E-02;3,17E-03;1,21E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0016;0,0156;0,0562;;;;0,0554743;0,0155669;2,4526854;;2,79E-02;5,83E-03;1,22E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0048;0,0036;0,0275;;;;0,0578695;0,0173633;2,4664079;;2,83E-02;8,22E-03;1,23E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0064;0,0082;0,061;;;;0,0610759;0,0214715;2,4969689;;2,98E-02;9,73E-03;1,24E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0035;0,0057;0,0299;;;;0,0628224;0,0243158;2,511889;;3,09E-02;1,14E-02;1,25E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0024;0,0032;0,049;;;;0,0616224;0,0259158;2,536389;;3,11E-02;1,26E-02;1,26E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0015;0,0043;0,0323;;;;0,0608724;0,0280658;2,552539;;3,06E-02;1,35E-02;1,27E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0034;0,0051;0,0562;;;;0,0625724;0,0306158;2,580639;;3,09E-02;1,47E-02;1,28E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0111;2,00E-04;0,0371;;;;0,0681224;0,0307158;2,599189;;3,27E-02;1,53E-02;1,29E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0212;-0,0079;0,0587;;;;0,0787436;0,0267579;2,6285977;;3,68E-02;1,44E-02;1,31E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0043;-0,0048;0,0371;;;;0,0808936;0,0243579;2,6471477;;3,99E-02;1,28E-02;1,32E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0032;0,0061;0,0491;;;;0,0824904;0,0274018;2,6716486;;4,08E-02;1,29E-02;1,33E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0104;0,0112;0,0275;;;;0,0772904;0,0330018;2,6853986;;3,99E-02;1,51E-02;1,34E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0062;0,0173;0,0562;;;;0,0741904;0,0416518;2,7134986;;3,79E-02;1,87E-02;1,35E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0161;-0,0101;0,0443;;;;0,0661404;0,0366018;2,7356486;;3,51E-02;1,96E-02;1,36E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,007;-0,0081;0,049;;;;0,0696474;0,0325437;2,7601976;;3,40E-02;1,73E-02;1,38E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0103;-0,012;0,0371;;;;0,0645077;0,0265557;2,7787105;;3,35E-02;1,47E-02;1,38E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001;-0,0105;0,0563;;;;0,0650087;0,0212952;2,8069168;;3,24E-02;1,20E-02;1,40E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0094;0,0024;0,0395;;;;0,0696993;0,0224928;2,8266273;;3,36E-02;1,09E-02;1,41E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0112;0,0113;0,0634;;;;0,0640881;0,0281541;2,8583907;;3,35E-02;1,27E-02;1,42E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0084;-0,0089;0,0299;;;;0,0598965;0,023713;2,8733108;;3,09E-02;1,29E-02;1,43E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0117;0,0089;0,0682;;;;0,0540465;0,028163;2,9074108;;2,85E-02;1,30E-02;1,45E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,004;-0,0176;0,0299;;;;0,0560465;0,019363;2,9223608;;2,75E-02;1,19E-02;1,46E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0053;-0,0129;0,0682;;;;0,0586965;0,012913;2,9564608;;2,87E-02;8,07E-03;1,47E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0027;0,0169;0,0658;;;;0,0573465;0,021363;2,9893608;;2,90E-02;8,57E-03;1,49E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,004;-8,00E-04;0,0466;;;;0,0593465;0,020963;3,0126608;;2,92E-02;1,06E-02;1,50E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,0116;-0,0085;0,0682;;;;0,0651465;0,016713;3,0467608;;3,11E-02;9,42E-03;1,51E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,0047;-0,0068;0,0562;;;;0,0627918;0,0133062;3,074917;;3,20E-02;7,52E-03;1,53E+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
